DEBUG 2025-11-05 17:29:56,599 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\backends\sqlite3\__init__.py first seen with mtime 1761764781.9787235
DEBUG 2025-11-05 17:29:56,599 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1761764781.6865318
DEBUG 2025-11-05 17:29:56,599 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1761764782.421577
DEBUG 2025-11-05 17:29:56,599 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\core\paginator.py first seen with mtime 1761764781.4779465
DEBUG 2025-11-05 17:29:56,599 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1761764781.6219933
DEBUG 2025-11-05 17:29:56,599 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\copyreg.py first seen with mtime 1723578007.6191566
DEBUG 2025-11-05 17:29:56,600 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1761764781.5168984
DEBUG 2025-11-05 17:29:56,600 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\mime\base.py first seen with mtime 1723578007.7313466
DEBUG 2025-11-05 17:29:56,600 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\struct.py first seen with mtime 1723578020.2487478
DEBUG 2025-11-05 17:29:56,600 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\forms\__init__.py first seen with mtime 1761764782.149296
DEBUG 2025-11-05 17:29:56,600 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1761764778.1288464
DEBUG 2025-11-05 17:29:56,600 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\DLLs\_bz2.pyd first seen with mtime 1723578005.3286076
DEBUG 2025-11-05 17:29:56,601 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1761754816.8396888
DEBUG 2025-11-05 17:29:56,601 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1761764781.4572968
DEBUG 2025-11-05 17:29:56,601 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework\schemas\utils.py first seen with mtime 1761764786.9252136
DEBUG 2025-11-05 17:29:56,601 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\textwrap.py first seen with mtime 1723578020.252776
DEBUG 2025-11-05 17:29:56,601 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\migrations\operations\fields.py first seen with mtime 1761764782.0525992
DEBUG 2025-11-05 17:29:56,601 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1761764781.6070442
DEBUG 2025-11-05 17:29:56,601 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\queues.py first seen with mtime 1723578007.548509
DEBUG 2025-11-05 17:29:56,601 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\core\validators.py first seen with mtime 1761764781.4800084
DEBUG 2025-11-05 17:29:56,602 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\template\engine.py first seen with mtime 1761764782.300364
DEBUG 2025-11-05 17:29:56,602 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1761764782.3067775
DEBUG 2025-11-05 17:29:56,602 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1761764781.7080183
DEBUG 2025-11-05 17:29:56,602 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\DLLs\_zoneinfo.pyd first seen with mtime 1723578005.3461714
DEBUG 2025-11-05 17:29:56,603 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1761764778.1232593
DEBUG 2025-11-05 17:29:56,603 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1761764782.0974698
DEBUG 2025-11-05 17:29:56,603 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\logging\__init__.py first seen with mtime 1723578012.0022643
DEBUG 2025-11-05 17:29:56,603 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\json\__init__.py first seen with mtime 1723578011.573869
DEBUG 2025-11-05 17:29:56,604 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1761764782.1393297
DEBUG 2025-11-05 17:29:56,604 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\utils\text.py first seen with mtime 1761764782.3826866
DEBUG 2025-11-05 17:29:56,604 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1761764781.6878624
DEBUG 2025-11-05 17:29:56,605 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\opcode.py first seen with mtime 1723578012.121375
DEBUG 2025-11-05 17:29:56,605 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework\utils\representation.py first seen with mtime 1761764786.9872127
DEBUG 2025-11-05 17:29:56,605 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\backends\sqlite3\creation.py first seen with mtime 1761764781.9947708
DEBUG 2025-11-05 17:29:56,606 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework\status.py first seen with mtime 1761764786.8296728
DEBUG 2025-11-05 17:29:56,606 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\contrib\admindocs\views.py first seen with mtime 1761764777.50738
DEBUG 2025-11-05 17:29:56,606 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\migrations\autodetector.py first seen with mtime 1761764782.0266902
DEBUG 2025-11-05 17:29:56,606 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\mime\message.py first seen with mtime 1723578007.7313466
DEBUG 2025-11-05 17:29:56,606 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1761764782.0565856
